Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,6374214,-,b'Mayagüez',b'Puerto Rico',18.26,-67.17,-4,5,-4,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,Temperature,GHI,
2020,1,1,0,0,26.700000000000003,0,N/A
2020,1,1,1,0,26.6,0,N/A
2020,1,1,2,0,26.5,0,N/A
2020,1,1,3,0,26.5,0,N/A
2020,1,1,4,0,26.5,0,N/A
2020,1,1,5,0,26.400000000000002,0,N/A
2020,1,1,6,0,26.400000000000002,0,N/A
2020,1,1,7,0,26.700000000000003,0,N/A
2020,1,1,8,0,27.200000000000003,163,N/A
2020,1,1,9,0,27.8,377,N/A
2020,1,1,10,0,28.5,564,N/A
2020,1,1,11,0,29,701,N/A
2020,1,1,12,0,29.400000000000002,467,N/A
2020,1,1,13,0,29.6,777,N/A
2020,1,1,14,0,29.700000000000003,708,N/A
2020,1,1,15,0,29.6,575,N/A
2020,1,1,16,0,29.3,389,N/A
2020,1,1,17,0,28.700000000000003,176,N/A
2020,1,1,18,0,28.1,0,N/A
2020,1,1,19,0,27.700000000000003,0,N/A
2020,1,1,20,0,27.5,0,N/A
2020,1,1,21,0,27.200000000000003,0,N/A
2020,1,1,22,0,27,0,N/A
2020,1,1,23,0,26.8,0,N/A
2020,1,2,0,0,26.700000000000003,0,N/A
2020,1,2,1,0,26.6,0,N/A
2020,1,2,2,0,26.5,0,N/A
2020,1,2,3,0,26.400000000000002,0,N/A
2020,1,2,4,0,26.400000000000002,0,N/A
2020,1,2,5,0,26.400000000000002,0,N/A
2020,1,2,6,0,26.3,0,N/A
2020,1,2,7,0,26.5,0,N/A
2020,1,2,8,0,27.1,162,N/A
2020,1,2,9,0,27.8,374,N/A
2020,1,2,10,0,28.400000000000002,561,N/A
2020,1,2,11,0,28.8,698,N/A
2020,1,2,12,0,29.1,771,N/A
2020,1,2,13,0,29.200000000000003,773,N/A
2020,1,2,14,0,29.1,704,N/A
2020,1,2,15,0,28.900000000000002,570,N/A
2020,1,2,16,0,28.5,386,N/A
2020,1,2,17,0,28,175,N/A
2020,1,2,18,0,27.5,0,N/A
2020,1,2,19,0,27.200000000000003,0,N/A
2020,1,2,20,0,27,0,N/A
2020,1,2,21,0,26.700000000000003,0,N/A
2020,1,2,22,0,26.6,0,N/A
2020,1,2,23,0,26.5,0,N/A
2020,1,3,0,0,26.3,0,N/A
2020,1,3,1,0,26.200000000000003,0,N/A
2020,1,3,2,0,26.1,0,N/A
2020,1,3,3,0,26.1,0,N/A
2020,1,3,4,0,26,0,N/A
2020,1,3,5,0,26.1,0,N/A
2020,1,3,6,0,26.1,0,N/A
2020,1,3,7,0,26.3,0,N/A
2020,1,3,8,0,26.700000000000003,161,N/A
2020,1,3,9,0,27.200000000000003,373,N/A
2020,1,3,10,0,27.900000000000002,560,N/A
2020,1,3,11,0,28.6,694,N/A
2020,1,3,12,0,28.8,767,N/A
2020,1,3,13,0,28.700000000000003,488,N/A
2020,1,3,14,0,28.5,355,N/A
2020,1,3,15,0,28.400000000000002,143,N/A
2020,1,3,16,0,28.1,28,N/A
2020,1,3,17,0,27.700000000000003,175,N/A
2020,1,3,18,0,27.3,0,N/A
2020,1,3,19,0,27.200000000000003,0,N/A
2020,1,3,20,0,27.1,0,N/A
2020,1,3,21,0,26.900000000000002,0,N/A
2020,1,3,22,0,26.8,0,N/A
2020,1,3,23,0,26.6,0,N/A
2020,1,4,0,0,26.400000000000002,0,N/A
2020,1,4,1,0,26.3,0,N/A
2020,1,4,2,0,26.200000000000003,0,N/A
2020,1,4,3,0,26,0,N/A
2020,1,4,4,0,26,0,N/A
2020,1,4,5,0,25.900000000000002,0,N/A
2020,1,4,6,0,25.900000000000002,0,N/A
2020,1,4,7,0,26.200000000000003,0,N/A
2020,1,4,8,0,26.8,165,N/A
2020,1,4,9,0,27.400000000000002,382,N/A
2020,1,4,10,0,28,573,N/A
2020,1,4,11,0,28.5,709,N/A
2020,1,4,12,0,28.8,785,N/A
2020,1,4,13,0,29,787,N/A
2020,1,4,14,0,29.1,718,N/A
2020,1,4,15,0,29,585,N/A
2020,1,4,16,0,28.700000000000003,397,N/A
2020,1,4,17,0,28.1,183,N/A
2020,1,4,18,0,27.400000000000002,0,N/A
2020,1,4,19,0,27.1,0,N/A
2020,1,4,20,0,26.8,0,N/A
2020,1,4,21,0,26.6,0,N/A
2020,1,4,22,0,26.400000000000002,0,N/A
2020,1,4,23,0,26.1,0,N/A
2020,1,5,0,0,26,0,N/A
2020,1,5,1,0,25.900000000000002,0,N/A
2020,1,5,2,0,25.8,0,N/A
2020,1,5,3,0,25.8,0,N/A
2020,1,5,4,0,25.8,0,N/A
2020,1,5,5,0,25.700000000000003,0,N/A
2020,1,5,6,0,25.6,0,N/A
2020,1,5,7,0,26,0,N/A
2020,1,5,8,0,26.700000000000003,165,N/A
2020,1,5,9,0,27.200000000000003,117,N/A
2020,1,5,10,0,27.8,574,N/A
2020,1,5,11,0,28.200000000000003,713,N/A
2020,1,5,12,0,28.5,788,N/A
2020,1,5,13,0,28.700000000000003,498,N/A
2020,1,5,14,0,28.6,391,N/A
2020,1,5,15,0,28.400000000000002,197,N/A
2020,1,5,16,0,28.1,126,N/A
2020,1,5,17,0,27.5,187,N/A
2020,1,5,18,0,26.8,0,N/A
2020,1,5,19,0,26.5,0,N/A
2020,1,5,20,0,26.3,0,N/A
2020,1,5,21,0,26,0,N/A
2020,1,5,22,0,25.8,0,N/A
2020,1,5,23,0,25.700000000000003,0,N/A
2020,1,6,0,0,25.6,0,N/A
2020,1,6,1,0,25.5,0,N/A
2020,1,6,2,0,25.5,0,N/A
2020,1,6,3,0,25.5,0,N/A
2020,1,6,4,0,25.6,0,N/A
2020,1,6,5,0,25.6,0,N/A
2020,1,6,6,0,25.700000000000003,0,N/A
2020,1,6,7,0,25.900000000000002,0,N/A
