Date,Simple Date,Outdoor Temperature (°F),Feels Like (°F),Dew Point (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (°),Hourly Rain (in/hr),Event Rain (in),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Total Rain (in),Relative Pressure (inHg),Outdoor Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Absolute Pressure (inHg)
2022-07-21T23:55:00-04:00,2022-07-21 23:55:00,78.3,80.3,77.1,0,0,18.3,142,0,1.78,1.78,1.91,8.01,226.24,29.99,96,0,0,30
2022-07-21T23:50:00-04:00,2022-07-21 23:50:00,78.6,80.7,77.4,0,0,18.3,142,0,1.78,1.78,1.91,8.01,226.24,29.98,96,0,0,30
2022-07-21T23:45:00-04:00,2022-07-21 23:45:00,78.1,80.1,76.9,0,0,18.3,142,0,1.78,1.78,1.91,8.01,226.24,29.99,96,0,0,30
2022-07-21T23:40:00-04:00,2022-07-21 23:40:00,78.1,80.2,77.2,0,0,18.3,6,0,1.78,1.78,1.91,8.01,226.24,29.99,97,0,0,30
2022-07-21T23:35:00-04:00,2022-07-21 23:35:00,78.1,80.2,77.2,0,0,18.3,6,0,1.78,1.78,1.91,8.01,226.24,29.99,97,0,0,30
2022-07-21T23:30:00-04:00,2022-07-21 23:30:00,77.9,79.9,76.7,0,0,18.3,6,0,1.78,1.78,1.91,8.01,226.24,29.99,96,0,0,30
2022-07-21T23:25:00-04:00,2022-07-21 23:25:00,78.1,80.1,76.9,0,0,18.3,6,0,1.78,1.78,1.91,8.01,226.24,29.99,96,0,0,30
2022-07-21T23:20:00-04:00,2022-07-21 23:20:00,78.1,80.1,76.9,0,0,18.3,6,0,1.78,1.78,1.91,8.01,226.24,29.99,96,0,0,30
2022-07-21T23:15:00-04:00,2022-07-21 23:15:00,78.3,80.3,77.1,0,0,18.3,6,0,1.78,1.78,1.91,8.01,226.24,29.98,96,0,0,30
2022-07-21T23:10:00-04:00,2022-07-21 23:10:00,78.3,80.3,77.1,0,0,18.3,6,0,1.78,1.78,1.91,8.01,226.24,29.99,96,0,0,30
2022-07-21T23:05:00-04:00,2022-07-21 23:05:00,78.3,80.3,77.1,0,0,18.3,6,0,1.78,1.78,1.91,8.01,226.24,29.99,96,0,0,30.01
2022-07-21T23:00:00-04:00,2022-07-21 23:00:00,78.1,80.1,76.9,0,0,18.3,5,0,1.78,1.78,1.91,8.01,226.24,29.99,96,0,0,30.01
2022-07-21T22:55:00-04:00,2022-07-21 22:55:00,78.1,80.2,77.2,0,0,18.3,34,0,1.78,1.78,1.91,8.01,226.24,29.99,97,0,0,30
2022-07-21T22:50:00-04:00,2022-07-21 22:50:00,78.3,80.4,77.4,0,0,18.3,52,0,1.78,1.78,1.91,8.01,226.24,29.99,97,0,0,30
2022-07-21T22:45:00-04:00,2022-07-21 22:45:00,78.1,80.2,77.2,0.9,2.2,18.3,19,0,1.78,1.78,1.91,8.01,226.24,29.99,97,0,0,30
2022-07-21T22:40:00-04:00,2022-07-21 22:40:00,78.1,80.2,77.2,0,0,18.3,75,0,1.78,1.78,1.91,8.01,226.24,29.99,97,0,0,30.01
2022-07-21T22:35:00-04:00,2022-07-21 22:35:00,78.1,80.2,77.2,0,0,18.3,104,0,1.78,1.78,1.91,8.01,226.24,29.99,97,0,0,30.01
2022-07-21T22:30:00-04:00,2022-07-21 22:30:00,78.1,80.2,77.5,0,0,18.3,134,0,1.78,1.78,1.91,8.01,226.24,29.99,98,0,0,30.01
2022-07-21T22:25:00-04:00,2022-07-21 22:25:00,78.1,80.2,77.5,0,0,18.3,134,0,1.78,1.78,1.91,8.01,226.24,29.99,98,0,0,30.01
2022-07-21T22:20:00-04:00,2022-07-21 22:20:00,78.1,80.2,77.5,0,0,18.3,120,0,1.78,1.78,1.91,8.01,226.24,29.98,98,0,0,30
2022-07-21T22:15:00-04:00,2022-07-21 22:15:00,78.1,80.2,77.5,0,0,18.3,46,0,1.78,1.78,1.91,8.01,226.24,29.99,98,0,0,30
2022-07-21T22:10:00-04:00,2022-07-21 22:10:00,78.1,80.2,77.5,0,0,18.3,120,0,1.78,1.78,1.91,8.01,226.24,29.99,98,0,0,30.01
2022-07-21T22:05:00-04:00,2022-07-21 22:05:00,78.3,80.4,77.7,0,0,18.3,120,0,1.78,1.78,1.91,8.01,226.24,29.98,98,0,0,29.99
2022-07-21T22:00:00-04:00,2022-07-21 22:00:00,78.3,80.4,77.7,0,0,18.3,119,0,1.78,1.78,1.91,8.01,226.24,29.99,98,0,0,30
2022-07-21T21:55:00-04:00,2022-07-21 21:55:00,78.4,80.5,77.8,0,0,18.3,107,0,1.78,1.78,1.91,8.01,226.24,29.99,98,0,0,30
2022-07-21T21:50:00-04:00,2022-07-21 21:50:00,78.6,80.8,78,0,0,18.3,107,0,1.78,1.78,1.91,8.01,226.24,29.98,98,0,0,30
2022-07-21T21:45:00-04:00,2022-07-21 21:45:00,78.6,80.8,78,0.2,1.1,18.3,107,0,1.78,1.78,1.91,8.01,226.24,29.98,98,0,0,29.99
2022-07-21T21:40:00-04:00,2022-07-21 21:40:00,78.8,80.9,77.9,0,0,18.3,91,0,1.78,1.78,1.91,8.01,226.24,29.98,97,0,0,30
2022-07-21T21:35:00-04:00,2022-07-21 21:35:00,79,81.2,78.1,0,0,18.3,136,0,1.78,1.78,1.91,8.01,226.24,29.98,97,0,0,29.99
2022-07-21T21:30:00-04:00,2022-07-21 21:30:00,78.8,80.9,77.9,0,0,18.3,131,0,1.78,1.78,1.91,8.01,226.24,29.97,97,0,0,29.99
2022-07-21T21:25:00-04:00,2022-07-21 21:25:00,79,81.2,78.1,0,0,18.3,119,0,1.78,1.78,1.91,8.01,226.24,29.97,97,0,0,29.99
2022-07-21T21:20:00-04:00,2022-07-21 21:20:00,79,81.2,78.1,0,0,18.3,122,0,1.78,1.78,1.91,8.01,226.24,29.97,97,0,0,29.99
2022-07-21T21:15:00-04:00,2022-07-21 21:15:00,79,81.2,78.1,0.7,1.1,18.3,50,0,1.78,1.78,1.91,8.01,226.24,29.98,97,0,0,29.99
2022-07-21T21:10:00-04:00,2022-07-21 21:10:00,79.2,81.4,78.3,0,0,18.3,172,0,1.78,1.78,1.91,8.01,226.24,29.97,97,0,0,29.98
2022-07-21T21:05:00-04:00,2022-07-21 21:05:00,79.2,81.4,78.3,0,0,18.3,173,0,1.78,1.78,1.91,8.01,226.24,29.97,97,0,0,29.99
2022-07-21T21:00:00-04:00,2022-07-21 21:00:00,79.3,81.5,78.4,1.8,3.4,18.3,173,0,1.78,1.78,1.91,8.01,226.24,29.96,97,0,0,29.98
2022-07-21T20:55:00-04:00,2022-07-21 20:55:00,79.3,81.5,78.4,0.9,1.1,18.3,31,0,1.78,1.78,1.91,8.01,226.24,29.96,97,0,0,29.97
2022-07-21T20:50:00-04:00,2022-07-21 20:50:00,79.3,81.5,78.4,0,0,18.3,100,0,1.78,1.78,1.91,8.01,226.24,29.97,97,0,0,29.99
2022-07-21T20:45:00-04:00,2022-07-21 20:45:00,79.3,81.5,78.4,0,0,18.3,49,0,1.78,1.78,1.91,8.01,226.24,29.96,97,0,0,29.97
2022-07-21T20:40:00-04:00,2022-07-21 20:40:00,79.3,81.5,78.7,0,0,18.3,67,0,1.78,1.78,1.91,8.01,226.24,29.96,98,0,0,29.97
2022-07-21T20:35:00-04:00,2022-07-21 20:35:00,79.3,81.5,78.7,0,0,18.3,136,0,1.78,1.78,1.91,8.01,226.24,29.96,98,0,0,29.97
2022-07-21T20:30:00-04:00,2022-07-21 20:30:00,79.3,81.6,79,0,0,18.3,111,0,1.78,1.78,1.91,8.01,226.24,29.96,99,0,0,29.97
2022-07-21T20:27:00-04:00,2022-07-21 20:27:00,79.3,81.6,79,0,0,18.3,125,0,1.78,1.78,1.91,8.01,226.24,29.96,99,0,0,29.97
2022-07-21T20:20:00-04:00,2022-07-21 20:20:00,79.3,81.6,79,0,0,18.3,118,0,1.78,1.78,1.91,8.01,226.24,29.95,99,0,0,29.96
2022-07-21T20:15:00-04:00,2022-07-21 20:15:00,79.5,81.8,79.2,0,0,18.3,73,0,1.78,1.78,1.91,8.01,226.24,29.95,99,0,0,29.96
2022-07-21T20:10:00-04:00,2022-07-21 20:10:00,79.5,81.8,79.2,0.2,1.1,18.3,33,0,1.78,1.78,1.91,8.01,226.24,29.95,99,0,0,29.96
2022-07-21T20:05:00-04:00,2022-07-21 20:05:00,79.5,81.8,79.2,1.3,2.2,18.3,57,0,1.78,1.78,1.91,8.01,226.24,29.95,99,0,0,29.96
2022-07-21T20:00:00-04:00,2022-07-21 20:00:00,79.7,82,79.4,0.7,1.1,18.3,74,0,1.78,1.78,1.91,8.01,226.24,29.94,99,0,0,29.95
2022-07-21T19:55:00-04:00,2022-07-21 19:55:00,79.7,82,79.4,0,0,18.3,123,0,1.78,1.78,1.91,8.01,226.24,29.94,99,0,0,29.95
2022-07-21T19:51:00-04:00,2022-07-21 19:51:00,79.9,82.2,79.6,0,0,18.3,108,0,1.78,1.78,1.91,8.01,226.24,29.94,99,0,0,29.96
2022-07-21T19:45:00-04:00,2022-07-21 19:45:00,79.9,82.2,79.6,0.2,1.1,18.3,101,0,1.78,1.78,1.91,8.01,226.24,29.95,99,0,0,29.96
2022-07-21T19:40:00-04:00,2022-07-21 19:40:00,79.9,82.2,79.6,0,0,18.3,114,0,1.78,1.78,1.91,8.01,226.24,29.95,99,0,0,29.96
2022-07-21T19:35:00-04:00,2022-07-21 19:35:00,80.1,89.3,79.8,0,0,18.3,128,0,1.78,1.78,1.91,8.01,226.24,29.94,99,0,0,29.96
2022-07-21T19:30:00-04:00,2022-07-21 19:30:00,80.2,89.6,79.9,0,0,18.3,120,0,1.78,1.78,1.91,8.01,226.24,29.94,99,0,0,29.95
2022-07-21T19:25:00-04:00,2022-07-21 19:25:00,80.2,89.3,79.6,0.2,1.1,18.3,68,0,1.78,1.78,1.91,8.01,226.24,29.94,98,0,0,29.96
2022-07-21T19:20:00-04:00,2022-07-21 19:20:00,80.4,89.9,79.8,0,0,18.3,103,0,1.78,1.78,1.91,8.01,226.24,29.94,98,0,0,29.96
2022-07-21T19:16:00-04:00,2022-07-21 19:16:00,80.4,89.9,79.8,0,0,18.3,101,0,1.78,1.78,1.91,8.01,226.24,29.94,98,0,0,29.95
2022-07-21T19:10:00-04:00,2022-07-21 19:10:00,80.8,90.9,79.9,0,0,18.3,98,0,1.78,1.78,1.91,8.01,226.24,29.93,97,0,0,29.95
2022-07-21T19:05:00-04:00,2022-07-21 19:05:00,80.8,90.9,79.9,0,0,18.3,131,0,1.78,1.78,1.91,8.01,226.24,29.94,97,0,0.4,29.95
2022-07-21T19:00:00-04:00,2022-07-21 19:00:00,81,91.5,80.1,0,0,18.3,131,0,1.78,1.78,1.91,8.01,226.24,29.94,97,0,1.2,29.95
