Date,Simple Date,Outdoor Temperature (°F),Feels Like (°F),Dew Point (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (°),Hourly Rain (in/hr),Event Rain (in),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Total Rain (in),Relative Pressure (inHg),Outdoor Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Absolute Pressure (inHg)
2022-07-21T23:55:00-04:00,2022-07-21 23:55:00,78.6,80.4,75.7,0.7,1.1,20.6,170,0,1.72,1.72,1.8,7.9,42.5,30.11,91,0,0,29.95
2022-07-21T23:50:00-04:00,2022-07-21 23:50:00,78.4,80.2,75.5,1.1,1.1,20.6,166,0,1.72,1.72,1.8,7.9,42.5,30.11,91,0,0,29.94
2022-07-21T23:45:00-04:00,2022-07-21 23:45:00,78.4,80.2,75.5,0.9,1.1,20.6,168,0,1.72,1.72,1.8,7.9,42.5,30.11,91,0,0,29.95
2022-07-21T23:40:00-04:00,2022-07-21 23:40:00,78.3,80.2,75.8,0.7,1.1,20.6,161,0,1.72,1.72,1.8,7.9,42.5,30.11,92,0,0,29.95
2022-07-21T23:35:00-04:00,2022-07-21 23:35:00,78.1,79.9,75.6,0.4,1.1,20.6,125,0,1.72,1.72,1.8,7.9,42.5,30.11,92,0,0,29.95
2022-07-21T23:30:00-04:00,2022-07-21 23:30:00,78.4,80.3,75.9,0,0,20.6,143,0,1.72,1.72,1.8,7.9,42.5,30.12,92,0,0,29.96
2022-07-21T23:25:00-04:00,2022-07-21 23:25:00,78.6,80.5,76.1,0.7,1.1,20.6,143,0,1.72,1.72,1.8,7.9,42.5,30.11,92,0,0,29.95
2022-07-21T23:20:00-04:00,2022-07-21 23:20:00,78.6,80.4,75.7,1.1,1.1,20.6,148,0,1.72,1.72,1.8,7.9,42.5,30.11,91,0,0,29.95
2022-07-21T23:15:00-04:00,2022-07-21 23:15:00,78.8,80.7,75.9,0.7,1.1,20.6,147,0,1.72,1.72,1.8,7.9,42.5,30.11,91,0,0,29.95
2022-07-21T23:10:00-04:00,2022-07-21 23:10:00,79,80.9,76.1,1.8,2.2,20.6,124,0,1.72,1.72,1.8,7.9,42.5,30.11,91,0,0,29.95
2022-07-21T23:05:00-04:00,2022-07-21 23:05:00,78.8,80.7,75.9,1.1,1.1,20.6,179,0,1.72,1.72,1.8,7.9,42.5,30.11,91,0,0,29.95
2022-07-21T23:01:00-04:00,2022-07-21 23:01:00,78.6,80.4,75.7,0.7,1.1,20.6,139,0,1.72,1.72,1.8,7.9,42.5,30.11,91,0,0,29.94
2022-07-21T22:55:00-04:00,2022-07-21 22:55:00,78.4,80.3,75.9,1.8,2.2,20.6,120,0,1.72,1.72,1.8,7.9,42.5,30.12,92,0,0,29.96
2022-07-21T22:50:00-04:00,2022-07-21 22:50:00,78.4,80.3,76.2,0,0,20.6,183,0,1.72,1.72,1.8,7.9,42.5,30.11,93,0,0,29.95
