Date,Simple Date,Outdoor Temperature (°F),Feels Like (°F),Dew Point (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (°),Hourly Rain (in/hr),Event Rain (in),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Total Rain (in),Relative Pressure (inHg),Outdoor Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Absolute Pressure (inHg),CO2 battery
2022-07-21T23:55:00-04:00,2022-07-21 23:55:00,77.9,79.7,75.1,0,0,14.8,77,0,2.14,2.14,2.29,8.92,17.06,29.93,91,0,0,29.96,1
2022-07-21T23:50:00-04:00,2022-07-21 23:50:00,77.5,79.3,75,1.1,1.1,14.8,68,0,2.14,2.14,2.29,8.92,17.06,29.94,92,0,0,29.96,1
2022-07-21T23:45:00-04:00,2022-07-21 23:45:00,77.4,79.2,75.2,0,0,14.8,68,0,2.14,2.14,2.29,8.92,17.06,29.94,93,0,0,29.96,1
2022-07-21T23:40:00-04:00,2022-07-21 23:40:00,77.2,79,75.3,0,0,14.8,67,0,2.14,2.14,2.29,8.92,17.06,29.94,94,0,0,29.96,1
2022-07-21T23:35:00-04:00,2022-07-21 23:35:00,77.2,79.1,75.7,0,0,14.8,67,0,2.14,2.14,2.29,8.92,17.06,29.94,95,0,0,29.97,1
2022-07-21T23:31:00-04:00,2022-07-21 23:31:00,77,78.8,75.1,0,0,14.8,67,0,2.14,2.14,2.29,8.92,17.06,29.94,94,0,0,29.97,1
2022-07-21T23:25:00-04:00,2022-07-21 23:25:00,77,78.9,75.5,0,0,14.8,67,0,2.14,2.14,2.29,8.92,17.06,29.95,95,0,0,29.97,1
2022-07-21T23:20:00-04:00,2022-07-21 23:20:00,77.4,79.3,75.5,0,0,14.8,67,0,2.14,2.14,2.29,8.92,17.06,29.95,94,0,0,29.97,1
2022-07-21T23:15:00-04:00,2022-07-21 23:15:00,77.7,79.5,75.5,0.2,1.1,14.8,67,0,2.14,2.14,2.29,8.92,17.06,29.94,93,0,0,29.96,1
2022-07-21T23:10:00-04:00,2022-07-21 23:10:00,77.7,79.5,75.2,0,0,14.8,68,0,2.14,2.14,2.29,8.92,17.06,29.94,92,0,0,29.97,1
