Date,Simple Date,Outdoor Temperature (°F),Feels Like (°F),Dew Point (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (°),Hourly Rain (in/hr),Event Rain (in),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Total Rain (in),Relative Pressure (inHg),Outdoor Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Absolute Pressure (inHg)
2022-07-21T23:55:00-04:00,2022-07-21 23:55:00,,,,,,,,,,,,,,29.93,,,,29.86
2022-07-21T23:50:00-04:00,2022-07-21 23:50:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-21T23:45:00-04:00,2022-07-21 23:45:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-21T23:40:00-04:00,2022-07-21 23:40:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-21T23:35:00-04:00,2022-07-21 23:35:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-21T23:30:00-04:00,2022-07-21 23:30:00,,,,,,,,,,,,,,29.93,,,,29.86
2022-07-21T23:25:00-04:00,2022-07-21 23:25:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-21T23:20:00-04:00,2022-07-21 23:20:00,,,,,,,,,,,,,,29.93,,,,29.86
2022-07-21T23:15:00-04:00,2022-07-21 23:15:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-21T23:10:00-04:00,2022-07-21 23:10:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-21T23:05:00-04:00,2022-07-21 23:05:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-21T23:00:00-04:00,2022-07-21 23:00:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-21T22:55:00-04:00,2022-07-21 22:55:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-21T22:50:00-04:00,2022-07-21 22:50:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-21T22:45:00-04:00,2022-07-21 22:45:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-21T22:40:00-04:00,2022-07-21 22:40:00,,,,,,,,,,,,,,29.94,,,,29.88
2022-07-21T22:35:00-04:00,2022-07-21 22:35:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-21T22:30:00-04:00,2022-07-21 22:30:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-21T22:25:00-04:00,2022-07-21 22:25:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-21T22:20:00-04:00,2022-07-21 22:20:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-21T22:15:00-04:00,2022-07-21 22:15:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-21T22:10:00-04:00,2022-07-21 22:10:00,,,,,,,,,,,,,,29.93,,,,29.86
2022-07-21T22:05:00-04:00,2022-07-21 22:05:00,,,,,,,,,,,,,,29.93,,,,29.86
2022-07-21T22:00:00-04:00,2022-07-21 22:00:00,,,,,,,,,,,,,,29.93,,,,29.86
2022-07-21T21:55:00-04:00,2022-07-21 21:55:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-21T21:50:00-04:00,2022-07-21 21:50:00,,,,,,,,,,,,,,29.93,,,,29.86
2022-07-21T21:45:00-04:00,2022-07-21 21:45:00,,,,,,,,,,,,,,29.93,,,,29.86
2022-07-21T21:40:00-04:00,2022-07-21 21:40:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-21T21:35:00-04:00,2022-07-21 21:35:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-21T21:30:00-04:00,2022-07-21 21:30:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-21T21:25:00-04:00,2022-07-21 21:25:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-21T21:20:00-04:00,2022-07-21 21:20:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-21T21:15:00-04:00,2022-07-21 21:15:00,,,,,,,,,,,,,,29.91,,,,29.85
2022-07-21T21:10:00-04:00,2022-07-21 21:10:00,77.4,79.5,77.1,0,0,9.2,80,0,0,0,0.03,0.37,236.22,29.91,99,0,0,29.84
2022-07-21T21:05:00-04:00,2022-07-21 21:05:00,77.4,79.5,77.1,0,0,9.2,80,0,0,0,0.03,0.37,236.22,29.91,99,0,0,29.85
2022-07-21T21:00:00-04:00,2022-07-21 21:00:00,77.4,79.5,77.1,0,0,9.2,80,0,0,0,0.03,0.37,236.22,29.91,99,0,0,29.85
2022-07-21T20:55:00-04:00,2022-07-21 20:55:00,77.4,79.5,77.1,1.3,2.2,9.2,74,0,0,0,0.03,0.37,236.22,29.9,99,0,0,29.84
2022-07-21T20:50:00-04:00,2022-07-21 20:50:00,77.4,79.5,77.1,1.3,2.2,9.2,74,0,0,0,0.03,0.37,236.22,29.91,99,0,0,29.85
2022-07-21T20:45:00-04:00,2022-07-21 20:45:00,77.4,79.5,77.1,0,0,9.2,42,0,0,0,0.03,0.37,236.22,29.9,99,0,0,29.84
2022-07-21T20:40:00-04:00,2022-07-21 20:40:00,,,,,,,,,,,,,,29.9,,,,29.84
2022-07-21T20:35:00-04:00,2022-07-21 20:35:00,,,,,,,,,,,,,,29.9,,,,29.84
2022-07-21T20:30:00-04:00,2022-07-21 20:30:00,,,,,,,,,,,,,,29.89,,,,29.83
2022-07-21T20:25:00-04:00,2022-07-21 20:25:00,,,,,,,,,,,,,,29.9,,,,29.84
2022-07-21T20:20:00-04:00,2022-07-21 20:20:00,77.7,79.8,77.4,0,0,9.2,32,0,0,0,0.03,0.37,236.22,29.9,99,0,0,29.84
2022-07-21T20:15:00-04:00,2022-07-21 20:15:00,77.7,79.8,77.4,0,0,9.2,32,0,0,0,0.03,0.37,236.22,29.89,99,0,0,29.83
2022-07-21T20:10:00-04:00,2022-07-21 20:10:00,77.9,80,77.6,0,0,9.2,32,0,0,0,0.03,0.37,236.22,29.9,99,0,0,29.84
2022-07-21T20:05:00-04:00,2022-07-21 20:05:00,77.9,80,77.6,0,0,9.2,32,0,0,0,0.03,0.37,236.22,29.89,99,0,0,29.82
2022-07-21T20:00:00-04:00,2022-07-21 20:00:00,78.6,80.8,78.3,0,0,9.2,32,0,0,0,0.03,0.37,236.22,29.89,99,0,0,29.83
2022-07-21T19:55:00-04:00,2022-07-21 19:55:00,78.6,80.8,78.3,0,0,9.2,31,0,0,0,0.03,0.37,236.22,29.88,99,0,0,29.82
2022-07-21T19:50:00-04:00,2022-07-21 19:50:00,78.6,80.8,78.3,0,0,9.2,31,0,0,0,0.03,0.37,236.22,29.89,99,0,0,29.83
2022-07-21T19:45:00-04:00,2022-07-21 19:45:00,78.6,80.8,78.3,0,0,9.2,106,0,0,0,0.03,0.37,236.22,29.89,99,0,0,29.83
2022-07-21T19:40:00-04:00,2022-07-21 19:40:00,78.6,80.8,78.3,0,0,9.2,106,0,0,0,0.03,0.37,236.22,29.89,99,0,0,29.83
2022-07-21T19:35:00-04:00,2022-07-21 19:35:00,78.6,80.8,78.3,0,0,9.2,107,0,0,0,0.03,0.37,236.22,29.89,99,0,0,29.83
2022-07-21T19:30:00-04:00,2022-07-21 19:30:00,78.4,80.6,78.1,0,0,9.2,107,0,0,0,0.03,0.37,236.22,29.89,99,0,0,29.82
2022-07-21T19:25:00-04:00,2022-07-21 19:25:00,78.4,80.6,78.1,0,0,9.2,107,0,0,0,0.03,0.37,236.22,29.89,99,0,0,29.82
2022-07-21T19:20:00-04:00,2022-07-21 19:20:00,,,,,,,,,,,,,,29.89,,,,29.82
2022-07-21T19:15:00-04:00,2022-07-21 19:15:00,,,,,,,,,,,,,,29.89,,,,29.82
2022-07-21T19:10:00-04:00,2022-07-21 19:10:00,78.8,81,78.5,0,0,9.2,107,0,0,0,0.03,0.37,236.22,29.88,99,0,1.2,29.82
2022-07-21T19:05:00-04:00,2022-07-21 19:05:00,78.8,81,78.5,0,0,9.2,107,0,0,0,0.03,0.37,236.22,29.88,99,0,1.2,29.82
2022-07-21T19:00:00-04:00,2022-07-21 19:00:00,78.8,81,78.5,0,0,9.2,107,0,0,0,0.03,0.37,236.22,29.89,99,0,3.8,29.82
2022-07-21T18:55:00-04:00,2022-07-21 18:55:00,78.8,81,78.5,0,0,9.2,107,0,0,0,0.03,0.37,236.22,29.87,99,0,6.5,29.81
2022-07-21T18:50:00-04:00,2022-07-21 18:50:00,79.3,81.6,79,0,0,9.2,107,0,0,0,0.03,0.37,236.22,29.88,99,0,23.9,29.82
2022-07-21T18:45:00-04:00,2022-07-21 18:45:00,79.3,81.6,79,0,0,9.2,107,0,0,0,0.03,0.37,236.22,29.88,99,0,23.9,29.82
2022-07-21T18:40:00-04:00,2022-07-21 18:40:00,79.5,81.8,79.2,0,0,9.2,107,0,0,0,0.03,0.37,236.22,29.88,99,0,25.1,29.81
2022-07-21T18:35:00-04:00,2022-07-21 18:35:00,79.3,81.6,79,0,0,9.2,107,0,0,0,0.03,0.37,236.22,29.87,99,0,28.1,29.81
