,0
0,2.9
1,6.0
2,9.9
3,13.3
4,16.0
5,17.7
6,19.1
7,22.0
8,27.3
9,32.4
10,31.6
11,27.6
12,34.3
13,38.5
14,47.7
15,59.8
16,54.6
17,63.2
18,87.6
19,100.2
20,97.5
21,104.1
22,107.0
23,107.0
24,104.5
25,135.3
26,271.5
27,222.9
28,190.0
29,167.8
30,183.0
31,186.4
32,177.8
33,179.9
34,179.1
35,186.4
36,170.1
37,187.3
38,152.2
39,182.5
40,132.7
41,105.3
42,86.7
43,98.8
44,59.0
45,69.7
46,60.7
47,48.6
48,36.8
49,34.6
50,27.6
51,41.6
52,40.7
53,36.8
54,24.2
55,20.8
56,22.9
57,30.7
58,39.9
59,73.7
60,75.0
61,69.7
62,62.0
63,69.7
64,65.0
65,52.9
66,42.5
67,47.7
68,59.0
69,71.6
70,62.0
71,93.6
72,108.4
73,124.0
74,144.8
75,83.2
76,85.0
77,96.3
78,115.7
79,171.8
80,160.9
81,139.2
82,127.5
83,252.4
84,317.1
85,369.6
86,490.2
87,262.8
88,300.1
89,976.9
90,717.0
91,851.5
92,806.8
93,748.7
94,714.8
95,737.8
96,729.6
97,720.1
98,707.5
99,706.6
100,693.6
101,680.5
102,655.0
103,659.8
104,662.8
105,674.1
106,631.1
107,635.0
108,640.3
109,619.4
110,626.4
111,668.9
112,653.3
113,597.3
114,565.2
115,570.0
116,574.7
117,553.9
118,520.5
119,478.0
120,485.4
121,478.4
122,451.5
123,415.6
124,440.7
125,460.6
126,446.3
127,407.7
128,330.6
129,392.9
130,355.3
131,291.9
132,235.5
133,302.3
134,189.5
135,240.3
136,217.8
137,204.3
138,144.4
139,150.0
140,152.2
141,135.3
142,115.4
143,99.7
144,83.7
145,75.8
146,68.9
147,60.2
148,52.5
149,47.2
150,46.4
151,41.6
152,28.6
153,20.8
154,16.9
155,11.3
156,8.6
157,3.8
158,0.8
159,0.8
160,2.1
161,5.1
162,10.4
163,13.8
164,15.2
165,22.0
166,35.1
167,42.9
168,50.3
169,64.6
170,68.0
171,82.0
172,79.3
173,93.6
174,104.5
175,126.1
176,131.4
177,145.7
178,151.0
179,158.7
180,178.2
181,193.1
182,199.9
183,223.4
184,183.5
185,221.2
186,165.6
187,103.1
188,106.7
189,93.6
190,97.1
191,72.4
192,53.3
193,55.0
194,68.5
195,149.1
196,130.0
197,89.8
198,62.0
199,99.7
200,90.7
201,53.7
202,58.5
203,36.8
204,27.3
205,22.5
206,22.5
207,39.0
208,45.9
209,127.1
210,191.7
211,370.4
212,191.7
213,208.2
214,150.5
215,70.2
216,44.6
217,63.2
218,76.3
219,113.2
220,108.9
221,425.5
222,469.3
223,696.7
224,827.6
225,791.3
226,515.8
227,284.9
228,801.7
229,231.6
230,334.0
231,242.8
232,220.3
233,255.4
234,420.7
235,255.9
236,155.2
237,249.8
238,190.0
239,222.0
240,197.8
241,599.1
242,728.8
243,514.4
244,928.3
245,797.8
246,773.9
247,772.2
248,779.5
249,754.8
250,717.0
251,708.8
252,698.4
253,721.8
254,743.9
255,719.6
256,704.4
257,692.8
258,691.4
259,673.2
260,655.5
261,652.4
262,672.4
263,677.6
264,642.4
265,624.6
266,643.2
267,632.8
268,603.4
269,612.5
270,640.7
271,654.6
272,602.0
273,584.8
274,573.4
275,582.6
276,574.4
277,520.5
278,493.1
279,497.1
280,332.3
281,477.1
282,461.6
283,453.7
284,457.2
285,435.9
286,376.1
287,360.9
288,329.7
289,328.4
290,309.3
291,303.1
292,271.1
293,224.2
294,205.2
295,193.4
296,178.6
297,258.0
298,126.6
299,105.0
300,89.8
301,78.4
302,71.1
303,65.0
304,58.1
305,53.7
306,48.6
307,42.9
308,38.2
309,34.6
310,29.5
311,24.7
312,21.2
313,15.5
314,11.3
315,8.2
316,3.8
317,0.8
318,2.1
319,6.8
320,11.3
321,13.0
322,14.7
323,13.8
324,10.4
325,9.5
326,6.0
327,8.2
328,10.4
329,16.4
330,15.2
331,10.8
332,18.1
333,25.1
334,30.7
335,33.4
336,30.7
337,46.4
338,61.5
339,59.0
340,73.7
341,82.8
342,89.8
343,89.3
344,133.1
345,194.8
346,179.9
347,159.5
348,156.9
349,222.0
350,266.3
351,331.8
352,248.9
353,170.4
354,140.4
355,60.2
356,46.4
357,35.1
358,44.6
359,48.1
360,99.7
361,101.0
362,109.7
363,99.3
364,128.0
365,187.3
366,285.8
367,252.9
368,376.1
369,185.6
370,178.6
371,177.4
372,128.3
373,124.9
374,237.2
375,385.1
376,750.9
377,631.1
378,800.8
379,373.5
380,461.1
381,356.5
382,765.6
383,730.1
384,824.7
385,329.7
386,300.1
387,278.4
388,446.8
389,264.6
390,248.1
391,398.2
392,449.3
393,870.7
394,262.8
395,224.6
396,276.7
397,279.3
398,970.4
399,255.4
400,304.9
401,309.3
402,191.7
403,154.8
404,176.9
405,239.8
406,239.4
407,202.1
408,212.5
409,202.6
410,408.6
411,288.8
412,934.8
413,622.5
414,339.6
415,325.3
416,842.4
417,240.8
418,372.6
419,572.5
420,253.2
421,712.7
422,717.5
423,294.9
424,644.1
425,663.7
426,652.8
427,666.2
428,703.5
429,679.7
430,622.1
431,612.5
432,599.1
433,614.6
434,604.7
435,561.8
436,519.2
437,541.3
438,528.4
439,475.9
440,445.9
441,491.4
442,471.1
443,418.5
444,385.1
445,372.6
446,360.9
447,342.7
448,339.6
449,316.2
450,284.6
451,268.0
452,254.2
453,238.6
454,224.2
455,206.9
456,183.5
