"","x"
"1",-108.140606241168
"2",-109.06887615174
"3",-101.777229165736
"4",-99.4686923454627
"5",-76.1543268695982
"6",-82.1355992111778
"7",-37.8137844103755
"8",-51.0629373518294
"9",-50.551753529564
"10",-52.7779230683721
"11",12.7897148342145
"12",-28.5042331289754
"13",22.5415113509906
"14",28.8198606037927
"15",70.4023172032235
"16",93.8499072196343
"17",131.184917977695
"18",191.025618071114
"19",262.368582409115
"20",307.025276909102
"21",294.523407945927
"22",344.555971115761
"23",354.177654191614
"24",330.016794281409
"25",258.249611127635
"26",259.911976541229
"27",245.972439648326
"28",239.287378708251
"29",239.468077759534
"30",229.475718251018
"31",283.309312088787
"32",260.111716824176
"33",277.521897586116
"34",287.118156022088
"35",336.678324977533
"36",341.481471771319
"37",368.048497192072
"38",409.765633795099
"39",443.718834219306
"40",385.060967625171
"41",387.806352189863
"42",382.475340282811
"43",393.93365306439
"44",381.871538067012
"45",403.256934811479
"46",391.158200698628
"47",420.604102671578
"48",409.827537990479
"49",407.346234820832
"50",439.268281604204
"51",417.191096492914
"52",442.021072633337
"53",415.104634237943
"54",396.430577393145
"55",413.738989157118
"56",375.477329548794
"57",430.992385565426
"58",424.167137084237
"59",479.005015078496
"60",475.026759324628
"61",398.862040626783
"62",453.183032614306
"63",447.016465686206
"64",449.337233267997
"65",487.273900587206
"66",392.819003098025
"67",404.518121699553
"68",462.017908451721
"69",480.100081534612
"70",437.577250384375
"71",447.298438343852
"72",449.71626426603
"73",414.250317418027
"74",450.169869034718
"75",429.444482966237
"76",516.691995497785
"77",497.078570912222
"78",529.093867661082
"79",540.403950886888
"80",582.656463840287
"81",550.501823774471
"82",540.992586594597
"83",517.425332863501
"84",506.926795236534
"85",535.1132498462
"86",507.466135607246
"87",499.724523008549
"88",550.823819027464
"89",585.709517874173
"90",743.953049293107
"91",695.637094286423
"92",675.549081739655
"93",702.237056340261
"94",634.562760140441
"95",654.721428000119
"96",702.006538533975
"97",708.292147133288
"98",628.631312504707
"99",613.382912560592
"100",661.641222023115
"101",598.174941210468
"102",572.670316539645
"103",560.865705446656
"104",541.223678110433
"105",569.897058610399
"106",549.81564933408
"107",511.839562393236
"108",510.620501707386
"109",544.090519618439
"110",554.109914214913
"111",541.634527813493
"112",531.456458425228
"113",572.372258093037
"114",536.328828734267
"115",534.39981438289
"116",494.870952287753
"117",494.737402306553
"118",535.636481405805
"119",502.405354016326
"120",496.568342136453
"121",544.721555824623
"122",530.582353172775
"123",548.360961206607
"124",492.605267229843
"125",524.980395419033
"126",516.444308353772
"127",579.772080776111
"128",565.768657776029
"129",551.684715477627
"130",479.686396677583
"131",545.705976717583
"132",470.118193052678
"133",498.026951430129
"134",537.50632707864
"135",482.89150994034
"136",422.277871406222
"137",362.017339741183
"138",348.8099182485
"139",338.536827652452
"140",249.282175928371
"141",174.09828011725
"142",195.59667767662
"143",206.051379496015
"144",279.707891959049
"145",244.779469047113
"146",220.163489082106
"147",191.968200759397
"148",107.826006633434
"149",103.089761931155
"150",97.4150662808273
"151",84.7297520804997
"152",42.254616386723
"153",33.9244118741852
"154",24.1171595510304
"155",-1.16632589522365
"156",13.1646970465352
"157",-7.74423997731474
"158",4.66071033153665
"159",-25.6918745379355
"160",2.36452516897024
"161",-88.7409306095081
"162",-75.8349705706822
"163",-65.9336878432478
"164",-68.9490149708075
"165",-25.7380991776323
"166",-34.7302085077678
"167",-48.688773600075
"168",46.5469241297469
"169",70.4706596037154
"170",130.587271286841
"171",169.65153674468
"172",188.753422232019
"173",195.33949404242
"174",220.665237417105
"175",231.875192728446
"176",253.681801339851
"177",246.486561051822
"178",295.124993560855
"179",296.845265995466
"180",286.978509763238
"181",326.619194615013
"182",343.949123264794
"183",345.001708523025
"184",377.448663412605
"185",418.216396825355
"186",390.563146824592
"187",334.356656052159
"188",282.51257072772
"189",279.457236550434
"190",280.14513498977
"191",275.833910544743
"192",306.022730058118
"193",337.775743123777
"194",304.26731146578
"195",334.002382305171
"196",373.833213562866
"197",405.795361222718
"198",449.209333201208
"199",501.847935443256
"200",534.44479206054
"201",429.860142669779
"202",424.92405026988
"203",520.157215939751
"204",514.7145486512
"205",490.300817988882
"206",495.791519981312
"207",519.292721251781
"208",516.873709142703
"209",527.142428239346
"210",479.797813448748
"211",508.485318597623
"212",474.612068950247
"213",463.456042218148
"214",419.329767675192
"215",410.734391601942
"216",482.791203111472
"217",494.752756184854
"218",491.210583234445
"219",468.492777659564
"220",427.656059494314
"221",448.512936717545
"222",465.054676480846
"223",519.156376993975
"224",438.797053710703
"225",417.802601533867
"226",438.929786333441
"227",452.22635180606
"228",503.781412626575
"229",471.638696194523
"230",488.986949041241
"231",479.153327925493
"232",487.982200549673
"233",493.704739011677
"234",594.604653400062
"235",553.209406544829
"236",601.943720870293
"237",594.656956032747
"238",588.168534303648
"239",597.212090616865
"240",577.581263996596
"241",617.280514135094
"242",513.88157243791
"243",436.438419769808
"244",456.786675474179
"245",491.880104534467
"246",540.250972813216
"247",606.269657225115
"248",653.7258733074
"249",650.563904863984
"250",641.027684963192
"251",601.012622449171
"252",655.68424220473
"253",642.239761064357
"254",663.264660404093
"255",666.190645323051
"256",679.026604974843
"257",588.794850844927
"258",615.272349624242
"259",620.236321328278
"260",623.67610550304
"261",610.357946072444
"262",585.915223428673
"263",580.112813306395
"264",566.016442249783
"265",558.006947097252
"266",529.398927563037
"267",531.857549883737
"268",492.957129033952
"269",459.131652067589
"270",500.917994810191
